Contour Number,Area,Diameter
2,2001.0,2523.7632263224796
3,2914.5,3045.8400537169678
4,4342.0,3717.662606813614
5,2423.5,2777.4520862949494
6,3785.5,3471.2563635501483
7,2152.0,2617.255958188877
