Contour Number,Area,Diameter
2,2001.0,50.47526452644959
3,2914.5,60.916801074339354
4,4342.0,74.35325213627227
5,2423.5,55.54904172589899
6,3785.5,69.42512727100296
7,2152.0,52.34511916377754
